Alcohol Present,Distracted in Driving,height,weight,Age,Sex,Race,premovement before collision,Body Category,Pre-event Location,Curb Weight,Model Year,Clock-form Direction of force,Speed Limit,Number of lanes,Traffic Condition,Surface Condition,Surface Type,Uphill or Downhill,Crash Type,Lighting Condition,Related to Intersection,Traffic Conrtol Functioning,Climate,Alignment of Road,CASEWGT,year,month,Day in Week
0.0,1.0,168,64,34,2,1,6,0,2,1330,2012,10,72,5,0,1,2,1,4,1,2,0,1,1,74,2013,5,2
0.0,1.0,165,88,69,1,1,5,0,1,1390,2008,180,72,5,1,2,1,1,1,1,2,2,2,1,181,2012,1,5
0.0,1.0,183,86,58,1,1,14,1,1,1760,2012,350,48,2,0,3,4,2,6,1,0,0,4,3,774,2012,12,1
0.0,2.0,168,59,18,2,1,11,0,1,1550,2011,20,56,6,0,2,2,1,4,1,2,0,2,1,1850,2019,11,4
0.0,1.0,168,77,71,2,1,14,0,1,1240,2012,330,48,2,6,2,2,2,6,1,0,2,2,3,233,2012,10,7
0.0,1.0,165,82,43,2,1,1,1,1,1694,2019,310,48,6,1,1,2,4,4,1,2,2,1,1,1661,2020,11,4
0.0,1.0,160,99,52,2,2,11,0,1,1570,2006,270,40,2,2,1,2,1,4,1,2,2,1,1,561,2014,5,6
0.0,1.0,178,122,83,1,1,5,0,1,1630,2007,180,72,5,1,1,2,4,1,1,2,2,1,1,1336,2009,9,4
0.0,1.0,183,79,29,1,1,1,0,1,1800,2011,340,56,2,0,1,2,1,4,3,2,0,8,1,18,2013,5,6
0.0,1.0,173,91,63,1,1,14,1,4,2066,2022,330,72,2,0,1,2,1,2,1,0,0,1,3,115,2022,7,1
0.0,1.0,163,64,23,2,1,1,0,1,1270,2013,0,56,5,0,1,2,4,1,1,3,0,8,1,331,2014,4,3
0.0,1.0,152,81,52,2,1,1,0,1,1600,2001,350,56,4,1,1,2,1,4,3,2,2,1,1,288,2010,9,6
0.0,2.0,168,51,26,2,1,11,0,2,1340,2018,350,40,2,0,1,2,1,2,1,3,0,1,1,72,2021,6,6
0.0,1.0,178,90,49,1,1,1,0,1,1210,2010,20,64,5,0,1,2,1,4,1,2,0,8,1,6834,2019,1,7
0.0,1.0,165,99,47,2,1,1,0,1,1480,2011,80,48,2,0,1,2,1,4,1,2,0,1,1,145,2010,8,2
1.0,1.0,160,56,25,2,1,11,0,1,1430,2007,10,64,4,1,1,2,1,4,3,2,2,1,1,23,2011,9,3
0.0,1.0,191,91,27,1,1,11,1,1,2902,2004,80,72,7,1,1,1,1,4,3,2,2,1,1,1297,2018,3,5
0.0,1.0,168,86,56,2,1,1,1,1,2230,2009,30,40,2,1,1,1,2,4,1,2,2,8,1,293,2012,4,6
0.0,1.0,165,75,50,2,1,1,1,1,2125,2017,10,80,3,0,1,2,4,4,3,2,0,1,1,600,2019,3,2
0.0,1.0,170,68,41,2,1,1,2,1,2001,2011,170,105,6,0,1,2,1,1,3,0,0,1,1,514,2020,11,2
0.0,1.0,170,150,23,4,1,1,0,1,1070,2002,40,40,2,0,1,5,1,4,1,2,0,1,1,453,2009,4,4
0.0,1.0,191,122,51,1,1,5,0,1,1339,2016,200,56,4,1,1,2,4,5,1,2,2,1,1,515,2019,9,5
0.0,1.0,175,78,51,1,1,5,0,1,1794,2018,180,72,3,0,1,2,1,1,5,0,0,1,1,1390,2019,11,2
1.0,2.0,188,93,27,1,1,14,0,2,1390,2001,20,64,5,0,1,2,4,2,5,0,0,1,2,23,2010,9,1
0.0,2.0,173,82,52,2,1,1,0,1,1260,2013,60,80,2,2,1,2,1,4,1,2,2,1,1,276,2019,7,2
0.0,1.0,175,86,26,1,1,11,3,1,2812,2014,60,56,3,1,1,2,1,4,1,2,2,1,1,1026,2022,9,1
0.0,1.0,183,79,49,1,1,1,1,1,2010,2007,80,40,2,0,2,2,1,4,3,2,0,2,1,76,2013,5,1
0.0,1.0,185,107,48,1,1,1,0,1,1228,2013,350,72,3,1,1,1,1,4,1,2,2,1,1,183,2022,4,2
0.0,1.0,168,79,61,1,1,11,3,1,1837,2005,10,64,5,1,1,2,1,4,3,2,2,1,1,1015,2018,10,6
0.0,1.0,160,66,37,2,5,1,0,1,1300,2008,350,64,2,1,2,2,1,4,1,2,2,2,1,363,2009,10,7
0.0,1.0,157,64,53,2,3,1,0,1,1580,2007,20,56,5,0,1,2,1,4,1,3,0,8,1,136,2010,5,2
0.0,1.0,185,95,30,1,2,1,0,1,1580,2015,340,48,2,0,1,2,1,4,1,2,0,1,1,118,2015,5,2
0.0,1.0,196,86,61,1,1,1,0,1,2140,2008,350,64,2,1,1,2,1,4,1,2,2,1,1,291,2010,10,7
0.0,2.0,170,82,22,2,1,1,0,2,1180,2002,10,113,3,0,5,1,1,5,1,1,0,4,1,262,2011,2,1
0.0,1.0,188,91,30,1,1,2,0,1,1630,2007,340,72,3,1,3,1,1,4,2,2,2,4,1,446,2011,3,7
0.0,1.0,175,73,54,1,1,11,1,1,1969,2017,300,48,2,0,1,2,1,4,2,2,0,1,3,67,2017,10,3
0.0,1.0,185,91,32,1,1,1,1,1,1840,2011,60,40,2,2,1,2,1,4,3,2,2,1,1,305,2015,10,4
0.0,1.0,165,64,44,2,1,11,2,1,2220,2005,140,40,3,2,1,2,1,4,1,2,2,1,1,1373,2009,12,6
0.0,1.0,170,91,76,1,1,1,3,1,2476,2013,340,97,2,0,1,2,2,6,1,3,0,8,1,138,2017,4,2
0.0,1.0,168,86,29,2,2,14,0,2,1272,2015,0,56,4,0,1,2,4,1,1,0,0,1,3,2127,2017,5,2
0.0,1.0,173,82,62,1,1,1,0,1,1577,2008,0,48,2,0,1,2,1,1,3,0,0,8,1,1989,2019,12,4
1.0,2.0,185,91,40,1,1,11,0,2,1583,2017,320,40,2,2,1,2,2,4,3,2,2,1,1,56,2021,8,2
0.0,1.0,175,76,56,1,1,11,0,1,1470,2010,90,48,4,1,1,2,1,4,1,2,2,1,1,48,2013,11,2
0.0,1.0,163,61,30,2,1,5,0,1,1490,2007,180,129,4,0,1,2,1,1,1,0,0,1,3,391,2011,8,7
0.0,2.0,193,118,53,1,1,1,1,1,2208,1997,30,72,4,1,1,2,1,4,1,2,2,1,1,199,2022,5,3
0.0,1.0,165,73,26,2,1,1,0,1,1570,2004,0,89,2,0,3,2,1,1,1,3,0,8,1,469,2011,1,1
0.0,2.0,183,68,63,2,1,1,0,1,1170,2009,50,56,2,2,1,2,1,4,1,2,2,1,1,45,2012,1,3
0.0,2.0,165,52,30,2,1,4,0,1,1260,2011,300,48,2,2,1,2,1,4,3,2,2,1,1,150,2013,11,6
0.0,1.0,170,54,19,2,1,14,1,1,1480,2003,350,89,2,0,1,2,1,2,1,0,0,1,2,285,2018,8,1
0.0,1.0,147,57,57,2,1,1,0,1,1151,2015,330,89,2,0,1,2,1,4,1,2,0,1,1,178,2017,11,5
0.0,1.0,196,113,17,1,1,14,0,1,1430,2007,330,40,2,0,1,2,1,4,1,2,0,1,2,355,2012,1,4
0.0,2.0,165,82,40,1,1,11,0,2,1388,2002,70,72,3,0,1,2,1,4,5,2,0,1,1,139,2017,10,3
0.0,1.0,178,97,28,1,1,1,0,1,1210,2005,180,72,7,1,1,2,4,1,1,2,2,1,1,535,2010,9,4
0.0,1.0,160,59,53,2,1,1,1,1,1360,2005,10,56,2,1,1,2,2,4,1,2,2,1,1,1343,2009,9,4
0.0,2.0,163,150,33,2,2,1,0,1,1540,2000,0,56,4,1,1,2,1,1,1,2,2,1,1,1076,2018,7,6
0.0,1.0,188,95,52,1,1,1,3,1,2230,2001,180,121,2,0,1,2,2,1,1,0,0,1,1,170,2009,7,4
0.0,1.0,175,59,49,2,1,1,1,1,2520,2007,330,72,4,0,1,2,4,4,1,3,0,1,1,96,2010,4,2
0.0,2.0,188,95,84,1,1,1,0,1,1310,2008,0,72,2,1,2,2,4,1,1,2,2,2,1,170,2011,11,2
0.0,1.0,180,102,36,2,1,14,1,2,1870,2002,330,56,2,0,3,2,2,6,3,0,0,4,3,341,2011,2,2
0.0,1.0,208,141,61,1,1,11,0,1,1870,2013,300,40,2,1,1,2,1,4,1,2,2,1,3,7,2014,7,7
0.0,1.0,203,106,22,1,2,1,0,2,1840,2007,340,72,5,0,1,2,1,2,1,0,0,1,1,38,2009,6,6
0.0,1.0,160,69,29,2,2,1,0,1,1416,2015,300,64,4,1,1,2,1,4,1,2,2,1,1,1059,2017,12,2
0.0,1.0,165,79,21,2,1,5,1,1,1547,2019,180,64,2,0,1,2,1,1,3,2,0,1,1,1663,2022,12,5
0.0,1.0,178,79,59,1,1,14,1,1,1455,2017,350,72,2,0,1,2,4,2,1,0,0,1,2,82,2019,5,2
0.0,1.0,183,57,15,1,1,11,0,1,1454,2011,310,72,2,2,1,2,1,4,1,2,2,1,1,36,2020,6,5
0.0,2.0,160,77,29,2,1,11,3,1,2397,2010,290,40,3,2,1,2,1,4,1,2,2,1,1,219,2021,4,5
0.0,2.0,170,75,69,1,1,1,1,1,2170,2014,300,72,3,2,1,2,1,4,1,2,2,8,1,75,2014,12,7
0.0,1.0,175,76,70,1,1,2,2,1,2050,2014,210,129,2,0,1,2,1,1,1,0,0,1,1,330,2018,7,3
0.0,1.0,165,75,27,2,1,1,1,1,1948,2008,50,80,2,0,1,2,1,4,2,2,0,1,1,674,2018,12,5
0.0,1.0,185,82,28,1,1,14,3,1,2480,2008,0,97,2,5,4,2,1,6,1,0,2,1,2,8,2010,12,6
0.0,1.0,173,80,21,2,2,1,0,1,1240,2003,340,72,5,1,1,2,1,4,1,2,2,1,1,446,2010,2,3
0.0,1.0,168,55,68,2,1,11,0,1,895,2015,30,72,6,0,1,1,1,4,1,2,0,1,1,51,2019,9,5
0.0,1.0,185,82,83,1,1,1,0,1,1630,2006,70,48,2,1,1,2,2,4,1,2,2,1,1,274,2012,3,3
0.0,1.0,165,98,74,2,1,11,0,1,1490,2008,290,56,3,1,1,2,4,4,1,2,2,1,1,2680,2013,5,7
0.0,1.0,183,86,54,1,1,1,1,1,2511,2010,30,72,3,1,1,1,1,4,1,2,2,1,1,400,2022,8,3
0.0,1.0,168,81,26,2,1,1,1,1,1610,2006,50,56,4,1,1,2,1,4,3,2,2,1,1,2801,2014,2,3
0.0,1.0,160,77,53,2,1,1,0,1,1290,2007,0,56,5,1,1,2,1,4,1,2,2,1,1,235,2011,7,6
0.0,1.0,183,84,17,1,3,1,0,1,1470,2010,280,129,2,2,1,2,2,4,4,2,2,1,1,98,2009,9,5
0.0,1.0,185,101,31,1,1,14,0,1,1660,2017,350,72,6,1,2,2,1,4,2,2,2,2,2,282,2018,11,5
0.0,1.0,165,53,26,2,1,1,0,1,1490,2006,10,64,5,1,1,2,1,4,1,2,2,1,1,71,2014,9,6
0.0,1.0,170,88,40,2,2,1,0,1,1430,2007,350,80,3,1,1,2,4,4,1,2,2,1,1,444,2011,10,2
0.0,1.0,157,68,44,2,2,1,1,2,2010,2003,0,40,2,0,1,2,1,4,1,2,0,1,1,171,2009,10,2
0.0,1.0,170,50,24,2,1,1,0,1,1495,2013,0,72,2,0,1,2,1,1,4,2,0,1,1,126,2022,1,3
0.0,1.0,185,64,21,1,1,1,0,1,1159,2015,280,80,2,2,1,2,1,4,1,2,2,1,1,686,2017,7,7
0.0,1.0,173,84,47,1,2,1,0,1,1590,2005,350,48,1,1,1,2,1,4,1,2,2,1,1,135,2014,11,2
0.0,2.0,165,71,32,2,1,1,2,1,1960,2009,0,64,5,1,1,2,1,1,4,2,2,1,1,135,2012,3,3
0.0,1.0,160,70,81,2,1,15,0,2,1279,2009,90,64,5,0,1,1,2,5,1,0,0,1,1,2231,2017,10,6
0.0,1.0,180,73,23,1,1,1,0,1,1345,2001,310,64,2,0,1,1,1,4,1,2,0,8,1,1504,2018,9,6
0.0,2.0,157,77,59,2,1,11,1,1,1870,2012,290,40,2,2,1,2,1,4,1,2,2,1,1,39,2012,5,2
1.0,2.0,188,100,34,1,1,11,0,1,1440,2008,30,72,3,0,3,1,1,4,3,2,0,9,1,29,2013,12,1
0.0,1.0,163,68,23,2,1,1,0,1,1260,2009,40,56,5,0,1,1,1,4,1,2,0,1,1,179,2010,10,4
0.0,1.0,170,73,56,1,1,1,0,1,1430,2005,340,64,5,1,1,1,1,4,3,1,2,8,1,1121,2011,1,6
0.0,1.0,178,100,47,2,1,1,1,4,1668,2017,30,105,2,0,1,2,1,6,1,0,0,1,1,44,2021,9,3
0.0,1.0,191,136,33,1,1,1,1,1,1800,2020,80,97,3,0,2,2,1,5,1,2,0,2,1,3111,2021,4,7
0.0,2.0,155,54,23,2,1,1,0,1,1080,2004,60,56,4,1,2,1,1,4,1,2,2,8,1,520,2011,5,1
0.0,1.0,157,59,80,2,1,11,0,1,1912,2017,40,64,4,0,1,2,4,4,1,2,0,1,3,1512,2020,6,5
0.0,1.0,183,98,24,1,1,1,0,1,1570,2011,20,72,4,0,1,2,1,4,1,2,0,1,1,530,2013,1,2
0.0,1.0,180,129,56,1,1,11,1,2,1580,2019,310,89,3,1,2,2,1,4,1,2,2,2,1,66,2021,7,5
0.0,1.0,175,46,20,1,1,11,0,1,1171,2005,20,72,5,0,1,2,1,4,1,2,0,1,1,1955,2017,3,6
0.0,1.0,183,129,20,1,1,14,0,1,1520,2001,340,72,4,1,1,1,1,4,1,2,2,1,3,249,2009,5,4
0.0,1.0,165,75,45,2,1,1,0,1,1450,2011,350,72,5,1,1,2,1,4,1,2,2,1,1,124,2011,9,3
0.0,1.0,180,85,68,1,1,5,2,1,1780,2006,180,56,2,1,1,2,1,1,1,2,2,1,3,291,2012,2,4
0.0,2.0,168,51,21,2,1,1,0,1,1120,2009,0,89,2,0,1,2,1,1,1,0,0,1,1,82,2011,6,6
0.0,2.0,170,82,45,1,1,14,0,2,1550,2009,0,89,2,0,2,2,1,2,4,0,0,8,2,42,2011,1,5
0.0,1.0,173,127,25,2,2,1,0,1,1580,2008,20,56,5,0,1,2,1,4,3,2,0,1,1,94,2009,11,1
0.0,2.0,168,89,17,2,1,1,1,1,1410,2011,350,113,4,0,2,2,1,1,3,1,0,2,1,2850,2017,1,2
0.0,1.0,157,91,35,2,1,1,1,1,2086,2000,60,40,2,0,1,2,4,4,1,2,0,1,1,280,2018,10,5
0.0,1.0,175,102,28,2,1,2,2,1,2050,2014,180,64,7,0,1,2,1,1,1,0,0,1,1,1994,2017,5,5
0.0,1.0,150,61,35,2,3,1,0,1,1680,2008,330,80,5,1,1,2,1,4,1,2,2,1,1,4060,2017,7,5
0.0,1.0,160,77,77,2,1,1,0,1,1510,2006,50,72,5,1,1,2,1,4,1,2,2,1,1,43,2015,9,3
0.0,1.0,180,107,40,1,1,14,3,2,2350,2006,10,40,2,0,1,2,4,2,1,0,0,1,3,1167,2014,3,3
1.0,1.0,185,95,46,1,1,14,3,1,2410,2009,350,89,2,0,1,2,4,2,2,0,0,1,2,43,2010,5,4
0.0,2.0,168,59,17,2,1,4,0,1,1540,2001,310,56,2,2,1,2,1,4,1,2,2,1,1,183,2009,7,1
0.0,1.0,183,82,43,1,1,11,0,1,1850,2008,40,64,5,1,1,1,1,4,3,2,2,8,1,199,2010,9,7
